X	Y	Species	Type	Diam	Height
10.587	96.028	White_Spruce	Adult	14.0161	0
48.311	86.9974	White_Spruce	Adult	14.4804	0
0.301618	4.53109	Balsam_Fir	Sapling	2.58423	0
3.41243	4.01255	Balsam_Fir	Sapling	8.83553	0
0.832036	13.2977	Balsam_Fir	Sapling	1.48835	0
4.25761	9.15574	Balsam_Fir	Sapling	1.74646	0
2.26262	13.7131	Balsam_Fir	Sapling	2.36919	0
1.31349	11.1041	Balsam_Fir	Sapling	2.99612	0
4.42614	12.5198	Balsam_Fir	Sapling	4.4	0
7.86205	15.2889	Balsam_Fir	Sapling	9.39221	0
4.09587	18.5936	Balsam_Fir	Sapling	3.16384	0
0.166032	22.9337	Balsam_Fir	Sapling	3.78969	0
7.32701	21.0962	Balsam_Fir	Sapling	3.9414	0
3.31642	16.9072	Trembling_Aspen	Sapling	3.01808	0
3.75221	17.7269	Balsam_Fir	Sapling	6.71691	0
0.110419	16.84	Balsam_Fir	Sapling	8.03171	0
5.43107	25.2702	Balsam_Fir	Sapling	1.57858	0
2.48333	29.428	Balsam_Fir	Sapling	1.75471	0
7.81329	26.8916	Balsam_Fir	Sapling	1.99135	0
5.76992	27.6416	Balsam_Fir	Sapling	5.80943	0
0.00361633	30.7255	Balsam_Fir	Sapling	7.71548	0
6.35377	24.1257	Balsam_Fir	Sapling	9.19751	0
7.28169	32.6965	Balsam_Fir	Sapling	0.160741	0
7.94943	32.5359	Balsam_Fir	Sapling	0.213237	0
0.411312	37.6963	Balsam_Fir	Sapling	0.518852	0
5.35018	39.1058	Balsam_Fir	Sapling	0.69805	0
0.926177	34.7307	Balsam_Fir	Sapling	0.769481	0
2.63977	33.0379	Balsam_Fir	Sapling	1.18661	0
0.679273	37.8351	Balsam_Fir	Sapling	1.71549	0
6.72071	33.2037	Balsam_Fir	Sapling	3.06573	0
2.10142	34.4059	Balsam_Fir	Sapling	4.16354	0
2.71141	38.3364	Balsam_Fir	Sapling	4.93892	0
7.8316	35.5911	Trembling_Aspen	Sapling	4.26929	0
4.92707	42.5911	Balsam_Fir	Sapling	0.251839	0
0.540359	44.8639	Balsam_Fir	Sapling	0.297431	0
4.70275	40.4645	Balsam_Fir	Sapling	0.70819	0
5.0879	41.9903	Balsam_Fir	Sapling	2.30903	0
1.86765	40.5633	Balsam_Fir	Sapling	2.32419	0
0.674051	43.4394	Balsam_Fir	Sapling	2.51713	0
2.89839	43.834	Balsam_Fir	Sapling	3.56711	0
5.33566	44.0201	Balsam_Fir	Sapling	4.57051	0
1.4488	40.6343	Balsam_Fir	Sapling	7.21374	0
7.98203	49.6042	Balsam_Fir	Sapling	1.39113	0
4.24794	50.4123	Balsam_Fir	Sapling	1.59526	0
4.3075	55.2163	Balsam_Fir	Sapling	2.01878	0
2.49265	50.9888	Balsam_Fir	Sapling	2.10429	0
7.65805	55.7965	Balsam_Fir	Sapling	2.27733	0
2.99308	52.7894	Balsam_Fir	Sapling	4.29477	0
5.00188	51.4725	Balsam_Fir	Sapling	4.41391	0
0.902801	55.7788	Balsam_Fir	Sapling	5.43699	0
6.33582	54.3744	Balsam_Fir	Sapling	6.36434	0
4.40152	62.8503	Balsam_Fir	Sapling	0.753212	0
6.8005	63.9638	Balsam_Fir	Sapling	1.79626	0
