X	Y	Species	Type	Diam	Height
3.58058	7.18467	White_Cedar	Adult	16.0533	0
3.50024	0.951266	White_Cedar	Adult	17.417	0
5.37285	4.04156	Balsam_Fir	Adult	12.7759	0
5.30809	6.89674	Balsam_Fir	Adult	12.8117	0
4.49234	5.10134	Paper_Birch	Adult	13.3204	0
3.54432	1.05174	Balsam_Fir	Adult	17.8493	0
2.00453	3.27994	Balsam_Fir	Adult	18.4351	0
2.69081	5.89294	Balsam_Fir	Adult	20.768	0
1.69398	0.13536	Balsam_Fir	Adult	20.9962	0
1.06745	1.66649	Jack_Pine	Adult	14.7627	0
1.75482	7.09008	Paper_Birch	Adult	44.9563	0
2.99648	2.06104	White_Spruce	Adult	38.4572	0
6.3384	12.7575	White_Cedar	Adult	18.0423	0
6.9341	13.6003	Balsam_Fir	Adult	11.8425	0
5.21901	12.9507	Balsam_Fir	Adult	12.0207	0
7.72489	15.6749	Balsam_Fir	Adult	13.5124	0
7.8007	11.8242	Balsam_Fir	Adult	18.1803	0
3.49835	14.5967	Balsam_Fir	Adult	19.5451	0
7.465	13.9317	White_Cedar	Adult	38.1954	0
0.344762	20.7938	Balsam_Fir	Adult	10.0917	0
1.68135	19.2857	Balsam_Fir	Adult	10.9155	0
2.6719	18.5666	White_Cedar	Adult	22.4779	0
4.38254	23.9281	Paper_Birch	Adult	12.9272	0
5.28122	22.3878	Balsam_Fir	Adult	20.2711	0
0.31053	17.8319	Balsam_Fir	Adult	24.5579	0
2.9531	20.4925	Balsam_Fir	Adult	26.726	0
1.31301	27.1475	White_Cedar	Adult	10.9607	0
0.512907	24.2243	Balsam_Fir	Adult	12.722	0
2.79654	29.4284	Paper_Birch	Adult	18.3005	0
1.80606	38.6991	White_Cedar	Adult	12.6041	0
3.39051	32.8062	Balsam_Fir	Adult	13.0782	0
7.72149	38.7896	Paper_Birch	Adult	12.436	0
2.26663	33.455	Paper_Birch	Adult	12.4759	0
3.55163	37.9886	Paper_Birch	Adult	16.8575	0
3.46946	46.5646	Balsam_Fir	Adult	11.087	0
1.28914	46.8115	Balsam_Fir	Adult	12.0962	0
0.516447	46.818	Balsam_Fir	Adult	12.8064	0
3.39188	45.0748	Paper_Birch	Adult	10.4316	0
7.11042	40.623	Balsam_Fir	Adult	16.583	0
4.60374	45.889	Balsam_Fir	Adult	16.7811	0
4.03226	45.6175	Paper_Birch	Adult	14.998	0
6.02786	52.356	Balsam_Fir	Adult	10.2438	0
6.49576	50.9004	Balsam_Fir	Adult	10.6743	0
1.31828	62.5516	Balsam_Fir	Adult	16.8341	0
4.40937	65.1786	Balsam_Fir	Adult	10.8907	0
3.20246	70.8182	White_Cedar	Adult	20.1448	0
2.91126	64.6864	Balsam_Fir	Adult	12.0351	0
5.86029	70.086	Paper_Birch	Adult	11.0408	0
6.13872	68.143	Balsam_Fir	Adult	18.5612	0
0.530412	73.5233	Balsam_Fir	Adult	12.7637	0
6.07814	72.8435	Balsam_Fir	Adult	12.8356	0
1.0889	76.6182	Balsam_Fir	Adult	13.7731	0
5.14342	73.9977	Balsam_Fir	Adult	16.5639	0
6.93045	78.9319	White_Spruce	Adult	19.3482	0
2.56088	76.2822	Balsam_Fir	Adult	21.4576	0
4.21135	78.2619	Paper_Birch	Adult	48.7648	0
4.31179	82.0895	Balsam_Fir	Adult	12.8209	0
5.80957	83.1308	Balsam_Fir	Adult	13.1659	0
4.45107	85.4222	Balsam_Fir	Adult	15.3773	0
3.58607	86.5368	Balsam_Fir	Adult	17.2805	0
0.832838	82.2779	Balsam_Fir	Adult	17.8814	0
0.966593	82.7257	Jack_Pine	Adult	19.1716	0
0.786813	89.0576	Balsam_Fir	Adult	12.2239	0
1.22967	90.4754	Balsam_Fir	Adult	13.763	0
1.69088	93.811	Balsam_Fir	Adult	14.3506	0
4.27728	89.3124	Balsam_Fir	Adult	14.3569	0
1.32507	92.5463	Balsam_Fir	Adult	16.1512	0
7.73313	93.0623	Balsam_Fir	Adult	17.0533	0
3.27682	95.6256	Paper_Birch	Adult	16.302	0
1.89575	89.6133	Balsam_Fir	Adult	21.1488	0
4.8899	90.0516	Paper_Birch	Adult	18.9528	0
1.71121	92.9185	Paper_Birch	Adult	25.8217	0
3.17319	89.2896	Paper_Birch	Adult	34.2736	0
4.23887	96.9554	Balsam_Fir	Adult	10.6714	0
2.18578	96.1624	White_Cedar	Adult	26.8828	0
11.9795	1.85965	White_Cedar	Adult	13.3317	0
14.9883	7.36541	Balsam_Fir	Adult	12.655	0
10.1808	6.43325	Balsam_Fir	Adult	13.0879	0
11.0075	0.014273	White_Cedar	Adult	23.2121	0
13.3801	5.41528	Balsam_Fir	Adult	24.7601	0
9.02344	5.52666	Paper_Birch	Adult	19.6844	0
11.534	2.22764	Balsam_Fir	Adult	25.1061	0
14.3637	7.82314	Balsam_Fir	Adult	26.8087	0
9.96103	8.44265	Balsam_Fir	Adult	10.0133	0
10.4362	12.3464	Balsam_Fir	Adult	14.5401	0
13.3778	14.3933	Balsam_Fir	Adult	21.3156	0
9.94823	15.6053	Balsam_Fir	Adult	24.6511	0
14.834	12.2578	White_Spruce	Adult	27.7896	0
10.4789	13.5936	White_Spruce	Adult	39.0088	0
14.5893	18.3995	White_Cedar	Adult	10.6643	0
15.9177	23.2032	Balsam_Fir	Adult	12.6394	0
9.85689	16.2898	Paper_Birch	Adult	11.5601	0
11.3779	16.3873	Balsam_Fir	Adult	18.1205	0
11.7505	21.1038	Balsam_Fir	Adult	19.5238	0
10.0226	19.9848	Paper_Birch	Adult	18.9149	0
15.5788	22.2678	Trembling_Aspen	Adult	31.6907	0
15.7097	25.4368	White_Cedar	Adult	10.2105	0
12.808	25.938	White_Cedar	Adult	20.0175	0
8.47319	31.1361	Balsam_Fir	Adult	13.1794	0
10.59	31.6825	Balsam_Fir	Adult	13.2671	0
9.02239	31.5903	White_Cedar	Adult	27.2129	0
15.3216	28.3286	Balsam_Fir	Adult	16.1351	0
11.5519	30.1531	Balsam_Fir	Adult	18.486	0
14.6776	27.3303	Balsam_Fir	Adult	22.3005	0
10.5106	29.5065	Balsam_Fir	Adult	23.3583	0
11.6303	36.943	Balsam_Fir	Adult	10.8045	0
12.3206	32.6472	White_Cedar	Adult	24.2777	0
9.21573	33.3565	Balsam_Fir	Adult	14.2405	0
15.2513	44.5045	White_Cedar	Adult	12.336	0
11.9164	43.8114	Balsam_Fir	Adult	12.562	0
9.18722	41.8213	Balsam_Fir	Adult	17.1901	0
10.0902	41.1189	White_Cedar	Adult	30.3739	0
11.8485	45.9062	Balsam_Fir	Adult	23.2902	0
8.04746	53.6023	White_Cedar	Adult	14.7568	0
14.3231	55.9342	Balsam_Fir	Adult	13.8889	0
14.3697	55.4918	White_Cedar	Adult	27.978	0
11.0882	52.6388	Paper_Birch	Adult	13.0613	0
9.27075	48.832	Balsam_Fir	Adult	17.0918	0
14.0607	54.3532	Balsam_Fir	Adult	17.1238	0
10.7413	55.5905	Balsam_Fir	Adult	17.3206	0
13.0343	55.0182	Balsam_Fir	Adult	18.938	0
10.5372	50.6464	Balsam_Fir	Adult	19.1323	0
9.3237	50.3023	Balsam_Fir	Adult	19.4254	0
8.44382	50.3196	White_Cedar	Adult	39.8083	0
9.27426	53.4942	Paper_Birch	Adult	36.9332	0
11.8132	54.9125	Paper_Birch	Adult	42.4991	0
10.0715	61.6741	White_Cedar	Adult	15.4904	0
11.6872	59.8744	White_Spruce	Adult	10.4257	0
12.0297	62.2246	Balsam_Fir	Adult	11.6442	0
9.36678	56.7968	Balsam_Fir	Adult	13.6372	0
15.8892	57.9435	White_Cedar	Adult	26.7478	0
11.9175	63.7066	Paper_Birch	Adult	12.5204	0
13.9903	59.4519	Balsam_Fir	Adult	19.1805	0
10.872	57.404	Paper_Birch	Adult	17.6936	0
12.55	63.1677	Balsam_Fir	Adult	24.3286	0
13.5201	62.1412	Trembling_Aspen	Adult	37.8141	0
10.2872	66.8401	White_Cedar	Adult	15.7246	0
14.3764	69.3176	Balsam_Fir	Adult	12.9288	0
9.54697	65.4554	Balsam_Fir	Adult	13.4522	0
12.1728	64.8575	Balsam_Fir	Adult	15.0187	0
9.91092	70.9088	Balsam_Fir	Adult	16.5865	0
11.8982	66.6005	Paper_Birch	Adult	23.9767	0
11.5738	71.0601	Paper_Birch	Adult	27.2521	0
8.76003	74.1138	Balsam_Fir	Adult	11.8528	0
9.3933	77.8069	White_Cedar	Adult	20.3844	0
14.5295	74.735	Balsam_Fir	Adult	13.9716	0
8.46649	75.1833	White_Cedar	Adult	24.0957	0
8.80207	74.9968	White_Cedar	Adult	25.8001	0
9.1526	72.596	Balsam_Fir	Adult	21.0266	0
12.5408	72.8353	Balsam_Fir	Adult	22.2959	0
15.76	76.6983	Balsam_Fir	Adult	23.8495	0
9.18608	78.7299	Paper_Birch	Adult	21.0015	0
13.8906	72.5673	Paper_Birch	Adult	39.6289	0
8.45231	87.3894	White_Cedar	Adult	18.2035	0
14.48	85.7915	Balsam_Fir	Adult	14.0676	0
15.3663	83.8937	Balsam_Fir	Adult	14.9714	0
13.0161	86.2223	Paper_Birch	Adult	13.8457	0
10.8369	86.3261	Balsam_Fir	Adult	18.7421	0
11.9738	83.0042	Balsam_Fir	Adult	19.3474	0
12.1027	90.9027	Balsam_Fir	Adult	10.1492	0
9.79873	93.7648	Balsam_Fir	Adult	10.5905	0
15.3056	92.7344	White_Cedar	Adult	28.9532	0
15.6329	89.2201	White_Spruce	Adult	41.0955	0
11.0746	97.8618	Balsam_Fir	Adult	11.4365	0
13.8801	98.3911	White_Cedar	Adult	19.3585	0
12.1309	97.2721	Paper_Birch	Adult	18.3772	0
23.4899	2.49987	Balsam_Fir	Adult	11.0717	0
18.534	7.61161	Balsam_Fir	Adult	15.0971	0
21.5622	2.16548	Paper_Birch	Adult	15.443	0
16.4006	3.64333	Paper_Birch	Adult	26.7281	0
17.9347	10.9407	Balsam_Fir	Adult	13.3386	0
19.2979	11.8151	Balsam_Fir	Adult	13.5378	0
19.8156	11.9465	Balsam_Fir	Adult	22.6003	0
20.9044	12.1094	Trembling_Aspen	Adult	17.9516	0
23.7926	18.9437	Jack_Pine	Adult	10.2943	0
18.3113	20.3378	Balsam_Fir	Adult	14.3941	0
16.1944	21.5767	Balsam_Fir	Adult	16.8284	0
16.3411	20.2046	Balsam_Fir	Adult	17.2588	0
20.0929	20.2467	Balsam_Fir	Adult	17.907	0
20.3768	22.6305	Balsam_Fir	Adult	18.8425	0
23.6628	21.1511	Paper_Birch	Adult	22.3963	0
23.4062	30.6528	Balsam_Fir	Adult	11.845	0
19.8876	27.4935	Balsam_Fir	Adult	12.9516	0
16.2823	29.0779	Balsam_Fir	Adult	13.5353	0
19.4986	27.273	Balsam_Fir	Adult	14.8865	0
16.7616	27.3711	White_Cedar	Adult	29.1008	0
21.7455	30.4126	White_Cedar	Adult	29.8046	0
20.1858	24.914	Balsam_Fir	Adult	19.3784	0
